expenditure_date,payee_name,payee_clean,address,payee_type,amount,committee_name,expense_category,expense_purpose,expense_toward,expense_method,vendor,fundtype,comments,x14
2021-08-02,campaign partner,campaign partner,1775 Tysons Blvd.  Tysons  Virginia 22102,business/group/organization,49,Howard  Seth Citizens To Elect,media,Online Advertising,NA,Debit Card,NA,Electoral,NA,NA
2021-09-02,campaign partner,campaign partner,1775 Tysons Blvd.  Tysons  Virginia 22102,business/group/organization,52,Howard  Seth Citizens To Elect,media,Online Advertising,NA,Debit Card,NA,Electoral,NA,NA
2021-02-02,campaign partner,campaign partner,1775 Tysons Blvd.  Tysons  Virginia 22102,business/group/organization,49,Howard  Seth Citizens To Elect,media,Online Advertising,NA,Debit Card,NA,Electoral,NA,NA
2021-03-02,campaign partner,campaign partner,1775 Tysons Blvd.  Tysons  Virginia 22102,business/group/organization,49,Howard  Seth Citizens To Elect,media,Online Advertising,NA,Debit Card,NA,Electoral,NA,NA
2021-04-02,campaign partner,campaign partner,1775 Tysons Blvd.  Tysons  Virginia 22102,business/group/organization,49,Howard  Seth Citizens To Elect,media,Online Advertising,NA,Debit Card,NA,Electoral,NA,NA
2021-06-02,campaign partner,campaign partner,1775 Tysons Blvd.  Tysons  Virginia 22102,business/group/organization,49,Howard  Seth Citizens To Elect,media,Online Advertising,NA,Debit Card,NA,Electoral,NA,NA
2021-08-16,campaign partner,campaign partner,1775 Tysons Blvd.  Tysons  Virginia 22102,business/group/organization,1.74,Howard  Seth Citizens To Elect,media,Online Advertising,NA,Debit Card,NA,Electoral,NA,NA
2021-07-02,campaign partner,campaign partner,1775 Tysons Blvd.  Tysons  Virginia 22102,business/group/organization,49,Howard  Seth Citizens To Elect,media,Online Advertising,NA,Debit Card,NA,Electoral,NA,NA
2021-10-04,campaign partner,campaign partner,1775 Tysons Blvd.  Tysons  Virginia 22102,business/group/organization,52,Howard  Seth Citizens To Elect,media,Online Advertising,NA,Debit Card,NA,Electoral,NA,NA
2021-11-02,campaign partner,campaign partner,1775 Tysons Blvd.  Tysons  Virginia 22102,business/group/organization,52,Howard  Seth Citizens To Elect,media,Online Advertising,NA,Debit Card,NA,Electoral,NA,NA
2021-12-02,campaign partner,campaign partner,1775 Tysons Blvd.  Tysons  Virginia 22102,business/group/organization,52,Howard  Seth Citizens To Elect,media,Online Advertising,NA,Debit Card,NA,Electoral,NA,NA
2021-12-31,campaign partner,campaign partner,1775 Tysons Blvd.  Tysons  Virginia 22102,business/group/organization,52,Howard  Seth Citizens To Elect,media,Online Advertising,NA,Debit Card,NA,Electoral,NA,NA
2021-05-27,facebook,facebook,1 Hacker Way  Menlo Park  California 94025,business/group/organization,50,Howard  Seth Citizens To Elect,media,Online Advertising,NA,Debit Card,NA,Electoral,NA,NA
2021-05-28,facebook,facebook,1 Hacker Way  Menlo Park  California 94025,business/group/organization,50,Howard  Seth Citizens To Elect,media,Online Advertising,NA,Debit Card,NA,Electoral,NA,NA
2021-05-28,facebook,facebook,1 Hacker Way  Menlo Park  California 94025,business/group/organization,50,Howard  Seth Citizens To Elect,media,Online Advertising,NA,Debit Card,NA,Electoral,NA,NA
2021-06-21,facebook,facebook,1 Hacker Way  Menlo Park  California 94025,business/group/organization,50,Howard  Seth Citizens To Elect,media,Online Advertising,NA,Debit Card,NA,Electoral,NA,NA
2021-08-31,facebook,facebook,1 Hacker Way  Menlo Park  California 94025,business/group/organization,100,Howard  Seth Citizens To Elect,media,Online Advertising,NA,Debit Card,NA,Electoral,NA,NA
2022-01-18,nationbuilder - stripe,nationbuilder - stripe,PO Box 811428  Los Angeles  California 90081,business/group/organization,159,Albert  Brian Citizens for,media,Media - Website Development,NA,Debit Card,NA,Electoral,Website Montlhly Fee,NA
2022-02-17,nationbuilder - stripe,nationbuilder - stripe,PO Box 811428  Los Angeles  California 90081,business/group/organization,159,Albert  Brian Citizens for,media,Media - Website Development,NA,Debit Card,NA,Electoral,NA,NA
2021-09-03,actblue  llc,actblue  llc,366 Summer Street  Somerville  Massachusetts 02144,business/group/organization,91.5,Taylor  Kym Friends for,media,Online Advertising,NA,EFT,NA,Electoral,NA,NA
2021-11-08,metropolitan washington council/afl cio,metropolitan washington council/afl cio,815 16th Street  N.W.  Washington  District Of Columbia 20006-4101,business/group/organization,250,Taylor  Kym Friends for,media,Book/Brochure Advertising,NA,Check,NA,Electoral,NA,NA
2021-04-05,facebook,facebook,1 HACKER WAY  MELNO PARK  California 94205,business/group/organization,50,Jain  Ashwani Friends of,media,Online Advertising,NA,Debit Card,NA,Electoral,NA,NA
2021-04-05,facebook,facebook,1 HACKER WAY  MELNO PARK  California 94205,business/group/organization,60,Jain  Ashwani Friends of,media,Online Advertising,NA,Debit Card,NA,Electoral,NA,NA
2021-04-07,facebook,facebook,1 HACKER WAY  MELNO PARK  California 94205,business/group/organization,80,Jain  Ashwani Friends of,media,Online Advertising,NA,Debit Card,NA,Electoral,NA,NA
2021-04-08,facebook,facebook,1 HACKER WAY  MELNO PARK  California 94205,business/group/organization,60,Jain  Ashwani Friends of,media,Online Advertising,NA,Debit Card,NA,Electoral,NA,NA
2021-06-24,vista print,vista print,275 Wyman Street  Waltham  Massachusetts 02451,business/group/organization,283.03,Harrison  Ingrid S. Friends of,media,Graphic Design,NA,Debit Card,NA,Electoral,NA,NA
2021-11-03,printing specialist,printing specialist,9015 Junction Drive  Suite 5  Annapolis Junction  Maryland 20701,business/group/organization,397.5,Harrison  Ingrid S. Friends of,media,Billboards / Outdoor Advertising,NA,Debit Card,NA,Electoral,NA,NA
2021-05-03,ngp van,ngp van,655 15th St NW  Suite 650  Washington  District Of Columbia 20005,business/group/organization,1007,Jain  Ashwani Friends of,media,Consulting Fees - Media,NA,EFT,NA,Electoral,NA,NA
2021-06-02,ngp van,ngp van,655 15th St NW  Suite 650  Washington  District Of Columbia 20005,business/group/organization,1007,Jain  Ashwani Friends of,media,Consulting Fees - Media,NA,EFT,NA,Electoral,NA,NA
2021-07-02,ngp van,ngp van,655 15th St NW  Suite 650  Washington  District Of Columbia 20005,business/group/organization,1007,Jain  Ashwani Friends of,media,Consulting Fees - Media,NA,EFT,NA,Electoral,NA,NA
2021-08-02,ngp van,ngp van,655 15th St NW  Suite 650  Washington  District Of Columbia 20005,business/group/organization,1007,Jain  Ashwani Friends of,media,Consulting Fees - Media,NA,EFT,NA,Electoral,NA,NA
2021-09-01,ngp van,ngp van,655 15th St NW  Suite 650  Washington  District Of Columbia 20005,business/group/organization,1007,Jain  Ashwani Friends of,media,Consulting Fees - Media,NA,EFT,NA,Electoral,NA,NA
2021-10-01,ngp van,ngp van,655 15th St NW  Suite 650  Washington  District Of Columbia 20005,business/group/organization,1007,Jain  Ashwani Friends of,media,Consulting Fees - Media,NA,EFT,NA,Electoral,NA,NA
2021-11-01,ngp van,ngp van,655 15th St NW  Suite 650  Washington  District Of Columbia 20005,business/group/organization,1007,Jain  Ashwani Friends of,media,Consulting Fees - Media,NA,EFT,NA,Electoral,NA,NA
2021-12-02,ngp van,ngp van,655 15th St NW  Suite 650  Washington  District Of Columbia 20005,business/group/organization,1007,Jain  Ashwani Friends of,media,Consulting Fees - Media,NA,EFT,NA,Electoral,NA,NA
2022-01-03,ngp van,ngp van,655 15th St NW  Suite 650  Washington  District Of Columbia 20005,business/group/organization,1007,Jain  Ashwani Friends of,media,Consulting Fees - Media,NA,EFT,NA,Electoral,NA,NA
2021-03-15,facebook,facebook,1 HACKER WAY  MELNO PARK  California 94205,business/group/organization,50,Jain  Ashwani Friends of,media,Online Advertising,NA,Debit Card,NA,Electoral,NA,NA
2021-03-28,facebook,facebook,1 HACKER WAY  MELNO PARK  California 94205,business/group/organization,50,Jain  Ashwani Friends of,media,Online Advertising,NA,Debit Card,NA,Electoral,NA,NA
2021-03-29,facebook,facebook,1 HACKER WAY  MELNO PARK  California 94205,business/group/organization,50,Jain  Ashwani Friends of,media,Online Advertising,NA,Debit Card,NA,Electoral,NA,NA
2021-03-30,facebook,facebook,1 HACKER WAY  MELNO PARK  California 94205,business/group/organization,50,Jain  Ashwani Friends of,media,Online Advertising,NA,Debit Card,NA,Electoral,NA,NA
2021-03-31,facebook,facebook,1 HACKER WAY  MELNO PARK  California 94205,business/group/organization,50,Jain  Ashwani Friends of,media,Online Advertising,NA,Debit Card,NA,Electoral,NA,NA
2021-04-01,facebook,facebook,1 HACKER WAY  MELNO PARK  California 94205,business/group/organization,20,Jain  Ashwani Friends of,media,Online Advertising,NA,Debit Card,NA,Electoral,NA,NA
2021-04-03,facebook,facebook,1 HACKER WAY  MELNO PARK  California 94205,business/group/organization,50,Jain  Ashwani Friends of,media,Online Advertising,NA,Debit Card,NA,Electoral,NA,NA
2021-04-05,facebook,facebook,1 HACKER WAY  MELNO PARK  California 94205,business/group/organization,60,Jain  Ashwani Friends of,media,Online Advertising,NA,Debit Card,NA,Electoral,NA,NA
2021-04-05,facebook,facebook,1 HACKER WAY  MELNO PARK  California 94205,business/group/organization,60,Jain  Ashwani Friends of,media,Online Advertising,NA,Debit Card,NA,Electoral,NA,NA
2021-12-31,campaign partners  inc.,campaign partner inc.,640 John Carlyle Street  Suite 403  Alexandria  Virginia 22314,business/group/organization,59.4,Thompson  J. (James) Howard Citizens for,media,Online Advertising,NA,Debit Card,NA,Electoral,Maintenance fee for maintaining online account.,NA
2021-04-09,facebook,facebook,1 HACKER WAY  MELNO PARK  California 94205,business/group/organization,60,Jain  Ashwani Friends of,media,Online Advertising,NA,Debit Card,NA,Electoral,NA,NA
2021-04-11,facebook,facebook,1 HACKER WAY  MELNO PARK  California 94205,business/group/organization,60,Jain  Ashwani Friends of,media,Online Advertising,NA,Debit Card,NA,Electoral,NA,NA
2021-04-12,facebook,facebook,1 HACKER WAY  MELNO PARK  California 94205,business/group/organization,60,Jain  Ashwani Friends of,media,Online Advertising,NA,Debit Card,NA,Electoral,NA,NA
2021-04-12,facebook,facebook,1 HACKER WAY  MELNO PARK  California 94205,business/group/organization,60,Jain  Ashwani Friends of,media,Online Advertising,NA,Debit Card,NA,Electoral,NA,NA
2021-04-13,facebook,facebook,1 HACKER WAY  MELNO PARK  California 94205,business/group/organization,60,Jain  Ashwani Friends of,media,Online Advertising,NA,Debit Card,NA,Electoral,NA,NA
2021-04-14,facebook,facebook,1 HACKER WAY  MELNO PARK  California 94205,business/group/organization,50,Jain  Ashwani Friends of,media,Online Advertising,NA,Debit Card,NA,Electoral,NA,NA
2021-04-15,facebook,facebook,1 HACKER WAY  MELNO PARK  California 94205,business/group/organization,50,Jain  Ashwani Friends of,media,Online Advertising,NA,Debit Card,NA,Electoral,NA,NA
2021-04-15,facebook,facebook,1 HACKER WAY  MELNO PARK  California 94205,business/group/organization,60,Jain  Ashwani Friends of,media,Online Advertising,NA,Debit Card,NA,Electoral,NA,NA
2021-04-15,facebook,facebook,1 HACKER WAY  MELNO PARK  California 94205,business/group/organization,60,Jain  Ashwani Friends of,media,Online Advertising,NA,Debit Card,NA,Electoral,NA,NA
2021-04-18,facebook,facebook,1 HACKER WAY  MELNO PARK  California 94205,business/group/organization,60,Jain  Ashwani Friends of,media,Online Advertising,NA,Debit Card,NA,Electoral,NA,NA
2021-04-18,facebook,facebook,1 HACKER WAY  MELNO PARK  California 94205,business/group/organization,60,Jain  Ashwani Friends of,media,Online Advertising,NA,Debit Card,NA,Electoral,NA,NA
2021-04-20,facebook,facebook,1 HACKER WAY  MELNO PARK  California 94205,business/group/organization,60,Jain  Ashwani Friends of,media,Online Advertising,NA,Debit Card,NA,Electoral,NA,NA
2021-04-25,facebook,facebook,1 HACKER WAY  MELNO PARK  California 94205,business/group/organization,60,Jain  Ashwani Friends of,media,Online Advertising,NA,Debit Card,NA,Electoral,NA,NA
2021-04-25,facebook,facebook,1 HACKER WAY  MELNO PARK  California 94205,business/group/organization,50,Jain  Ashwani Friends of,media,Online Advertising,NA,Debit Card,NA,Electoral,NA,NA
2021-04-25,facebook,facebook,1 HACKER WAY  MELNO PARK  California 94205,business/group/organization,200,Jain  Ashwani Friends of,media,Online Advertising,NA,Debit Card,NA,Electoral,NA,NA
2021-05-05,facebook,facebook,1 HACKER WAY  MELNO PARK  California 94205,business/group/organization,200,Jain  Ashwani Friends of,media,Online Advertising,NA,Debit Card,NA,Electoral,NA,NA
2021-05-05,facebook,facebook,1 HACKER WAY  MELNO PARK  California 94205,business/group/organization,200,Jain  Ashwani Friends of,media,Online Advertising,NA,Debit Card,NA,Electoral,NA,NA
2021-05-05,facebook,facebook,1 HACKER WAY  MELNO PARK  California 94205,business/group/organization,200,Jain  Ashwani Friends of,media,Online Advertising,NA,Debit Card,NA,Electoral,NA,NA
2021-05-10,facebook,facebook,1 HACKER WAY  MELNO PARK  California 94205,business/group/organization,150,Jain  Ashwani Friends of,media,Online Advertising,NA,Debit Card,NA,Electoral,NA,NA
2021-05-11,facebook,facebook,1 HACKER WAY  MELNO PARK  California 94205,business/group/organization,150,Jain  Ashwani Friends of,media,Online Advertising,NA,Debit Card,NA,Electoral,NA,NA
2021-05-14,facebook,facebook,1 HACKER WAY  MELNO PARK  California 94205,business/group/organization,750,Jain  Ashwani Friends of,media,Online Advertising,NA,Debit Card,NA,Electoral,NA,NA
2021-05-25,facebook,facebook,1 HACKER WAY  MELNO PARK  California 94205,business/group/organization,200,Jain  Ashwani Friends of,media,Online Advertising,NA,Debit Card,NA,Electoral,NA,NA
2021-05-28,facebook,facebook,1 HACKER WAY  MELNO PARK  California 94205,business/group/organization,200,Jain  Ashwani Friends of,media,Online Advertising,NA,Debit Card,NA,Electoral,NA,NA
2021-05-28,facebook,facebook,1 HACKER WAY  MELNO PARK  California 94205,business/group/organization,150,Jain  Ashwani Friends of,media,Online Advertising,NA,Debit Card,NA,Electoral,NA,NA
2021-06-14,facebook,facebook,1 HACKER WAY  MELNO PARK  California 94205,business/group/organization,200,Jain  Ashwani Friends of,media,Online Advertising,NA,Debit Card,NA,Electoral,NA,NA
2021-06-17,facebook,facebook,1 HACKER WAY  MELNO PARK  California 94205,business/group/organization,300,Jain  Ashwani Friends of,media,Online Advertising,NA,Debit Card,NA,Electoral,NA,NA
2021-06-24,facebook,facebook,1 HACKER WAY  MELNO PARK  California 94205,business/group/organization,200,Jain  Ashwani Friends of,media,Online Advertising,NA,Debit Card,NA,Electoral,NA,NA
2021-06-28,facebook,facebook,1 HACKER WAY  MELNO PARK  California 94205,business/group/organization,250,Jain  Ashwani Friends of,media,Online Advertising,NA,Debit Card,NA,Electoral,NA,NA
2021-07-03,facebook,facebook,1 HACKER WAY  MELNO PARK  California 94205,business/group/organization,250,Jain  Ashwani Friends of,media,Online Advertising,NA,Debit Card,NA,Electoral,NA,NA
2021-07-12,facebook,facebook,1 HACKER WAY  MELNO PARK  California 94205,business/group/organization,150,Jain  Ashwani Friends of,media,Online Advertising,NA,Debit Card,NA,Electoral,NA,NA
2021-07-12,facebook,facebook,1 HACKER WAY  MELNO PARK  California 94205,business/group/organization,100,Jain  Ashwani Friends of,media,Online Advertising,NA,Debit Card,NA,Electoral,NA,NA
2021-07-18,facebook,facebook,1 HACKER WAY  MELNO PARK  California 94205,business/group/organization,150,Jain  Ashwani Friends of,media,Online Advertising,NA,Debit Card,NA,Electoral,NA,NA
2021-07-22,facebook,facebook,1 HACKER WAY  MELNO PARK  California 94205,business/group/organization,150,Jain  Ashwani Friends of,media,Online Advertising,NA,Debit Card,NA,Electoral,NA,NA
2021-07-29,facebook,facebook,1 HACKER WAY  MELNO PARK  California 94205,business/group/organization,250,Jain  Ashwani Friends of,media,Online Advertising,NA,Debit Card,NA,Electoral,NA,NA
2021-08-02,facebook,facebook,1 HACKER WAY  MELNO PARK  California 94205,business/group/organization,300,Jain  Ashwani Friends of,media,Online Advertising,NA,Debit Card,NA,Electoral,NA,NA
2021-08-06,facebook,facebook,1 HACKER WAY  MELNO PARK  California 94205,business/group/organization,300,Jain  Ashwani Friends of,media,Online Advertising,NA,Debit Card,NA,Electoral,NA,NA
2021-08-09,facebook,facebook,1 HACKER WAY  MELNO PARK  California 94205,business/group/organization,400,Jain  Ashwani Friends of,media,Online Advertising,NA,Debit Card,NA,Electoral,NA,NA
2021-08-12,facebook,facebook,1 HACKER WAY  MELNO PARK  California 94205,business/group/organization,150,Jain  Ashwani Friends of,media,Online Advertising,NA,Debit Card,NA,Electoral,NA,NA
2021-08-18,facebook,facebook,1 HACKER WAY  MELNO PARK  California 94205,business/group/organization,350,Jain  Ashwani Friends of,media,Online Advertising,NA,Debit Card,NA,Electoral,NA,NA
2021-08-24,facebook,facebook,1 HACKER WAY  MELNO PARK  California 94205,business/group/organization,350,Jain  Ashwani Friends of,media,Online Advertising,NA,Debit Card,NA,Electoral,NA,NA
2021-08-31,facebook,facebook,1 HACKER WAY  MELNO PARK  California 94205,business/group/organization,400,Jain  Ashwani Friends of,media,Online Advertising,NA,Debit Card,NA,Electoral,NA,NA
2021-09-02,facebook,facebook,1 HACKER WAY  MELNO PARK  California 94205,business/group/organization,300,Jain  Ashwani Friends of,media,Online Advertising,NA,Debit Card,NA,Electoral,NA,NA
2021-09-05,facebook,facebook,1 HACKER WAY  MELNO PARK  California 94205,business/group/organization,250,Jain  Ashwani Friends of,media,Online Advertising,NA,Debit Card,NA,Electoral,NA,NA
2021-09-06,facebook,facebook,1 HACKER WAY  MELNO PARK  California 94205,business/group/organization,60,Jain  Ashwani Friends of,media,Online Advertising,NA,Debit Card,NA,Electoral,NA,NA
2021-09-07,facebook,facebook,1 HACKER WAY  MELNO PARK  California 94205,business/group/organization,200,Jain  Ashwani Friends of,media,Online Advertising,NA,Debit Card,NA,Electoral,NA,NA
2021-09-08,facebook,facebook,1 HACKER WAY  MELNO PARK  California 94205,business/group/organization,200,Jain  Ashwani Friends of,media,Online Advertising,NA,Debit Card,NA,Electoral,NA,NA
2021-09-10,facebook,facebook,1 HACKER WAY  MELNO PARK  California 94205,business/group/organization,200,Jain  Ashwani Friends of,media,Online Advertising,NA,Debit Card,NA,Electoral,NA,NA
2021-09-11,facebook,facebook,1 HACKER WAY  MELNO PARK  California 94205,business/group/organization,200,Jain  Ashwani Friends of,media,Online Advertising,NA,Debit Card,NA,Electoral,NA,NA
2021-09-12,facebook,facebook,1 HACKER WAY  MELNO PARK  California 94205,business/group/organization,300,Jain  Ashwani Friends of,media,Online Advertising,NA,Debit Card,NA,Electoral,NA,NA
2021-09-16,facebook,facebook,1 HACKER WAY  MELNO PARK  California 94205,business/group/organization,250,Jain  Ashwani Friends of,media,Online Advertising,NA,Debit Card,NA,Electoral,NA,NA
2021-09-17,facebook,facebook,1 HACKER WAY  MELNO PARK  California 94205,business/group/organization,250,Jain  Ashwani Friends of,media,Online Advertising,NA,Debit Card,NA,Electoral,NA,NA
2021-09-20,facebook,facebook,1 HACKER WAY  MELNO PARK  California 94205,business/group/organization,250,Jain  Ashwani Friends of,media,Online Advertising,NA,Debit Card,NA,Electoral,NA,NA
2021-09-22,facebook,facebook,1 HACKER WAY  MELNO PARK  California 94205,business/group/organization,300,Jain  Ashwani Friends of,media,Online Advertising,NA,Debit Card,NA,Electoral,NA,NA
2021-09-27,facebook,facebook,1 HACKER WAY  MELNO PARK  California 94205,business/group/organization,300,Jain  Ashwani Friends of,media,Online Advertising,NA,Debit Card,NA,Electoral,NA,NA
2021-09-29,facebook,facebook,1 HACKER WAY  MELNO PARK  California 94205,business/group/organization,300,Jain  Ashwani Friends of,media,Online Advertising,NA,Debit Card,NA,Electoral,NA,NA
2021-09-30,facebook,facebook,1 HACKER WAY  MELNO PARK  California 94205,business/group/organization,300,Jain  Ashwani Friends of,media,Online Advertising,NA,Debit Card,NA,Electoral,NA,NA
2021-10-01,facebook,facebook,1 HACKER WAY  MELNO PARK  California 94205,business/group/organization,500,Jain  Ashwani Friends of,media,Online Advertising,NA,Debit Card,NA,Electoral,NA,NA
2021-10-05,facebook,facebook,1 HACKER WAY  MELNO PARK  California 94205,business/group/organization,300,Jain  Ashwani Friends of,media,Online Advertising,NA,Debit Card,NA,Electoral,NA,NA
2021-10-08,facebook,facebook,1 HACKER WAY  MELNO PARK  California 94205,business/group/organization,300,Jain  Ashwani Friends of,media,Online Advertising,NA,Debit Card,NA,Electoral,NA,NA
2021-10-11,facebook,facebook,1 HACKER WAY  MELNO PARK  California 94205,business/group/organization,300,Jain  Ashwani Friends of,media,Online Advertising,NA,Debit Card,NA,Electoral,NA,NA
2021-10-13,facebook,facebook,1 HACKER WAY  MELNO PARK  California 94205,business/group/organization,300,Jain  Ashwani Friends of,media,Online Advertising,NA,Debit Card,NA,Electoral,NA,NA
2021-10-15,facebook,facebook,1 HACKER WAY  MELNO PARK  California 94205,business/group/organization,300,Jain  Ashwani Friends of,media,Online Advertising,NA,Debit Card,NA,Electoral,NA,NA
2021-10-16,facebook,facebook,1 HACKER WAY  MELNO PARK  California 94205,business/group/organization,300,Jain  Ashwani Friends of,media,Online Advertising,NA,Debit Card,NA,Electoral,NA,NA
2021-10-18,facebook,facebook,1 HACKER WAY  MELNO PARK  California 94205,business/group/organization,300,Jain  Ashwani Friends of,media,Online Advertising,NA,Debit Card,NA,Electoral,NA,NA
2021-10-22,facebook,facebook,1 HACKER WAY  MELNO PARK  California 94205,business/group/organization,150,Jain  Ashwani Friends of,media,Online Advertising,NA,Debit Card,NA,Electoral,NA,NA
2021-10-24,facebook,facebook,1 HACKER WAY  MELNO PARK  California 94205,business/group/organization,300,Jain  Ashwani Friends of,media,Online Advertising,NA,Debit Card,NA,Electoral,NA,NA
